lgbt,一次,中国,交流,会,作出,分享,参加,同性,同性恋,工作,报道,时,来源,没有,活动,环球网,社会,称,群体,行为,表示,认为,记者,过程,进行,问题
0,0,0,0,0,0,1,1,0,6,0,4,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0
0,2,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,8,1,0,0,0,0,1,0
1,1,1,2,8,1,1,1,1,0,2,0,5,1,4,0,0,3,0,0,1,2,2,0,1,3,3
0,0,4,2,1,0,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,0,2,0,3,1,0,0,1,0,1,0,0,1,0,0,0,1,2,1,8,0
11,0,17,1,6,2,0,2,3,1,1,0,7,1,8,1,0,0,1,16,0,1,7,2,2,5,2
0,0,0,0,1,2,0,0,0,7,0,5,2,1,3,0,1,3,7,0,0,4,2,0,0,0,1
0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0
6,1,15,0,1,1,0,1,0,10,0,2,3,0,2,0,0,2,5,3,1,1,2,3,2,1,2
1,2,0,1,6,0,1,0,0,1,0,0,4,1,3,1,0,19,0,7,9,0,2,0,2,3,1
3,1,0,0,0,1,0,0,0,0,1,4,1,1,2,1,2,0,3,3,1,1,0,1,0,0,0
